distance,energy
2.0,-28.832120424265995
2.2857142857142856,-28.690155429437556
2.571428571428571,-28.651255994775898
2.857142857142857,-28.780506521033967
3.142857142857143,-28.77924508643423
3.4285714285714284,-28.731318842571365
3.7142857142857144,-28.677073827580582
4.0,-28.642841451167122
4.285714285714286,-28.62247208872734
4.571428571428571,-28.608194614789387
4.857142857142857,-28.597546394844397
5.142857142857142,-28.589125020180553
5.428571428571429,-28.58252688084349
5.7142857142857135,-28.578004497885733
6.0,-28.575028325102746
