# Tetrahedron method	# Tetrahedron method
        0.0000000000        0.0000000000	        0.0000000000        0.0000000000
        0.0700000000        0.0000000000	        0.0700000000        0.0000000000
        0.1400000000        0.0000000000	        0.1400000000        0.0000000000
        0.2100000000        0.0000000000	        0.2100000000        0.0059259318
        0.2800000000        0.0000000000	        0.2800000000        0.0218895752
        0.3500000000        0.0000000000	        0.3500000000        0.0400661290
        0.4200000000        0.0246397997	        0.4200000000        0.0611281195
        0.4900000000        0.0657231375	        0.4900000000        0.0826839096
        0.5600000000        0.0929099087	        0.5600000000        0.1084526959
        0.6300000000        0.1225015864	        0.6300000000        0.1368943500
        0.7000000000        0.1713204935	        0.7000000000        0.1704960664
        0.7700000000        0.2135221060	        0.7700000000        0.2138045643
        0.8400000000        0.2678822996	        0.8400000000        0.2638147696
        0.9100000000        0.3180487040	        0.9100000000        0.3196186882
        0.9800000000        0.3754878615	        0.9800000000        0.3820944102
        1.0500000000        0.4368362656	        1.0500000000        0.4514771699
        1.1200000000        0.5147627444	        1.1200000000        0.5240471929
        1.1900000000        0.5954373716	        1.1900000000        0.6095802744
        1.2600000000        0.6842652577	        1.2600000000        0.7088852349
        1.3300000000        0.8030057137	        1.3300000000        0.8247905807
        1.4000000000        0.9774425636	        1.4000000000        0.9940785200
        1.4700000000        1.1211206048	        1.4700000000        1.1165098602
        1.5400000000        1.2883123007	        1.5400000000        1.3251887280
        1.6100000000        1.5563845100	        1.6100000000        1.5495265280
        1.6800000000        1.8899509423	        1.6800000000        1.8499546016
        1.7500000000        2.4435730641	        1.7500000000        2.2866590770
        1.8200000000        3.3967919040	        1.8200000000        3.4553315221
        1.8900000000        3.4943059103	        1.8900000000        3.4288153727
        1.9600000000        3.2486026015	        1.9600000000        3.2624108108
        2.0300000000        4.0677555121	        2.0300000000        4.8620648291
        2.1000000000        5.4352334594	        2.1000000000        5.3828954461
        2.1700000000        8.2564294216	        2.1700000000        7.3206117647
        2.2400000000        9.4760113097	        2.2400000000        8.7728803364
        2.3100000000        8.1932202436	        2.3100000000        8.6968122531
        2.3800000000        7.6365119645	        2.3800000000        7.1098509087
        2.4500000000        6.6321684454	        2.4500000000        7.1699782809
        2.5200000000        4.9661013880	        2.5200000000        5.1577439648
        2.5900000000        6.3940504559	        2.5900000000        7.4390489630
        2.6600000000        6.6899911907	        2.6600000000        7.2667556158
        2.7300000000        6.3180960877	        2.7300000000        6.7036928080
        2.8000000000        5.6073002822	        2.8000000000        5.9808852765
        2.8700000000        4.5761308901	        2.8700000000        5.4353682169
        2.9400000000        7.3098742205	        2.9400000000        5.7221451579
        3.0100000000        5.1088574560	        3.0100000000        6.0447013221
        3.0800000000        4.9923434561	        3.0800000000        4.7332542171
        3.1500000000        4.8295642681	        3.1500000000        4.2625496368
        3.2200000000        4.6717617643	        3.2200000000        4.3834698569
        3.2900000000        3.2749544337	        3.2900000000        3.7293587782
        3.3600000000        3.6139408588	        3.3600000000        3.5729887273
        3.4300000000        3.6565430657	        3.4300000000        3.6209367449
        3.5000000000        3.7696971051	        3.5000000000        3.3744404384
        3.5700000000        3.3542857870	        3.5700000000        3.5650334098
        3.6400000000        3.2880908265	        3.6400000000        3.5598696722
        3.7100000000        3.4913929924	        3.7100000000        2.8085886088
        3.7800000000        2.5415453968	        3.7800000000        3.1249532867
        3.8500000000        3.0967896834	        3.8500000000        3.0206172694
        3.9200000000        2.9645939438	        3.9200000000        3.2527012448
        3.9900000000        3.2878903049	        3.9900000000        3.1956385292
        4.0600000000        3.5252708488	        4.0600000000        3.4210723604
        4.1300000000        2.0351358060	        4.1300000000        2.1200008759
        4.2000000000        1.1373506283	        4.2000000000        1.2343606413
        4.2700000000        0.8718357440	        4.2700000000        0.8060025721
        4.3400000000        0.7309143841	        4.3400000000        0.7118435612
        4.4100000000        0.6048442480	        4.4100000000        0.6558696044
        4.4800000000        0.4576058097	        4.4800000000        0.5560708524
        4.5500000000        0.4627418829	        4.5500000000        0.5096732908
        4.6200000000        0.4874777595	        4.6200000000        0.9711228704
        4.6900000000        0.4963398117	        4.6900000000        0.6470721203
        4.7600000000        0.5234138738	        4.7600000000        0.6665114704
        4.8300000000        0.5563821362	        4.8300000000        0.7255995571
        4.9000000000        0.8297159906	        4.9000000000        0.7432438913
        4.9700000000        0.8639109583	        4.9700000000        0.7636466798
        5.0400000000        0.8461887531	        5.0400000000        0.7884903508
        5.1100000000        0.8765878530	        5.1100000000        0.8335414301
        5.1800000000        0.8960281882	        5.1800000000        0.8837366186
        5.2500000000        0.9450440569	        5.2500000000        0.9231274229
        5.3200000000        1.0159356534	        5.3200000000        0.9674086477
        5.3900000000        1.0866014505	        5.3900000000        1.0047915847
        5.4600000000        1.1564622788	        5.4600000000        1.1137918902
        5.5300000000        1.2201703468	        5.5300000000        1.2103555534
        5.6000000000        1.2482669414	        5.6000000000        1.2447238821
        5.6700000000        1.3496730152	        5.6700000000        1.1882990612
        5.7400000000        1.2827628191	        5.7400000000        1.2718695484
        5.8100000000        1.2421193141	        5.8100000000        1.4303108052
        5.8800000000        1.3156968830	        5.8800000000        1.4658441484
        5.9500000000        1.6618594167	        5.9500000000        1.5912957244
        6.0200000000        1.9326030174	        6.0200000000        2.1426153417
        6.0900000000        2.0439558233	        6.0900000000        2.0805227297
        6.1600000000        1.7333236971	        6.1600000000        1.9617883610
        6.2300000000        1.4174145991	        6.2300000000        1.6448504276
        6.3000000000        1.4305755501	        6.3000000000        1.4974548416
        6.3700000000        1.5600005835	        6.3700000000        1.5153252383
        6.4400000000        1.9369430022	        6.4400000000        1.9379591363
        6.5100000000        2.5207687599	        6.5100000000        2.3305381305
        6.5800000000        2.1081901876	        6.5800000000        1.9104045635
        6.6500000000        1.9381341767	        6.6500000000        1.8436651170
        6.7200000000        1.9253779586	        6.7200000000        2.0790036820
        6.7900000000        2.8825499939	        6.7900000000        2.3559978899
        6.8600000000        1.7046246469	        6.8600000000        2.0551450838
        6.9300000000        1.5660622625	        6.9300000000        1.7226309149
        7.0000000000        1.6433438629	        7.0000000000        1.6981202910
        7.0700000000        1.7846191494	        7.0700000000        1.7245842887
        7.1400000000        1.8461612028	        7.1400000000        1.8364194361
        7.2100000000        1.8228499773	        7.2100000000        2.0696052171
        7.2800000000        2.1949393453	        7.2800000000        2.1330994060
        7.3500000000        3.6509219982	        7.3500000000        3.6496123317
        7.4200000000        2.9936090893	        7.4200000000        2.6853099276
        7.4900000000        2.2119139616	        7.4900000000        2.1542931348
