distance,energy
2.0,-26.20656839
2.1025641025641026,-27.13817969
2.2051282051282053,-27.74336424
2.3076923076923075,-28.13727095
2.41025641025641,-28.37855056
2.5128205128205128,-28.52534943
2.6153846153846154,-28.61017916
2.717948717948718,-28.65577816
2.8205128205128203,-28.6743887
2.923076923076923,-28.68022557
3.0256410256410255,-28.67388454
3.128205128205128,-28.66162355
3.230769230769231,-28.64751505
3.333333333333333,-28.63256789
3.435897435897436,-28.61870069
3.5384615384615383,-28.60434903
3.641025641025641,-28.59175535
3.7435897435897436,-28.57014396
3.846153846153846,-28.55865991
3.948717948717949,-28.54904912
4.051282051282051,-28.5398417
4.153846153846153,-28.53243589
4.256410256410256,-28.52508866
4.3589743589743595,-28.51847059
4.461538461538462,-28.51157497
4.564102564102564,-28.50673393
4.666666666666666,-28.50273387
4.769230769230769,-28.49814574
4.871794871794872,-28.4955387
4.9743589743589745,-28.49126945
5.076923076923077,-28.48747316
5.179487179487179,-28.48480928
5.282051282051282,-28.48299172
5.384615384615385,-28.48081739
5.487179487179487,-28.47874324
5.589743589743589,-28.477205
5.692307692307692,-28.47379568
5.794871794871795,-28.47271025
5.897435897435898,-28.47178511
6.0,-28.4704887
