distance,energy
2.0,-28.047420708939875
2.2857142857142856,-28.26346608549227
2.571428571428571,-28.615312653349733
2.857142857142857,-28.742785264095282
3.142857142857143,-28.73675779298783
3.4285714285714284,-28.679405724362656
3.7142857142857144,-28.63311397068299
4.0,-28.604980804182283
4.285714285714286,-28.587767756779193
4.571428571428571,-28.577640520557733
4.857142857142857,-28.57104009488992
5.142857142857142,-28.565486487344497
5.428571428571429,-28.560746447640973
5.7142857142857135,-28.557658214148166
6.0,-28.55564674071921
