V,U0
189.11232475674427,-5584.911123127576
269.2634467727863,-5625.760368976778
369.36000929051613,-5635.258611711171
491.61817236567725,-5629.375111886308
638.2540960540118,-5616.798242164091
811.4839404112638,-5602.675691804493
1013.5238654931754,-5587.733344372033
1246.5900313554916,-5573.031613663727
1512.8985980539533,-5562.114513287945
1814.665725644305,-5556.7072422909605
2154.1075741822915,-5556.329613274638
2533.4403037236516,-5559.696111741849
