distance,energy
2.0,-27.692097932079694
2.1025641025641026,-28.0338829894351
2.2051282051282053,-28.144207786522898
2.3076923076923075,-28.33802810879875
2.41025641025641,-28.49605266425071
2.5128205128205128,-28.57724154413554
2.6153846153846154,-28.63800481629415
2.717948717948718,-28.663843873115336
2.8205128205128203,-28.664644525938876
2.923076923076923,-28.647804168169433
3.0256410256410255,-28.622075028629045
3.128205128205128,-28.59260387549267
3.230769230769231,-28.563932469786746
3.333333333333333,-28.53864467598763
3.435897435897436,-28.517987646547663
3.5384615384615383,-28.4986361566894
3.641025641025641,-28.480966588279948
3.7435897435897436,-28.46522293610914
3.846153846153846,-28.451195651394098
3.948717948717949,-28.438833202544526
4.051282051282051,-28.427771353773625
4.153846153846153,-28.41764115398227
4.256410256410256,-28.408555156235387
4.3589743589743595,-28.40050283059292
4.461538461538462,-28.393323347047968
4.564102564102564,-28.386923449839884
4.666666666666666,-28.381153639763657
4.769230769230769,-28.375807100195658
4.871794871794872,-28.370757414848548
4.9743589743589745,-28.366043925583153
5.076923076923077,-28.36183339049671
5.179487179487179,-28.358278090946857
5.282051282051282,-28.355398847402352
5.384615384615385,-28.353084543822415
5.487179487179487,-28.351173126426186
5.589743589743589,-28.349537285193314
5.692307692307692,-28.34811512264665
5.794871794871795,-28.346879062585042
5.897435897435898,-28.34580324663226
6.0,-28.344848981921967
