distance,energy
2.0,-27.692097932079694
2.1,-28.02366044916264
2.2,-28.1334533099229
2.3,-28.323165674740515
2.4,-28.48321305705716
2.5,-28.564864646176524
2.6,-28.63126409267637
2.7,-28.661329247786423
