Model,ω1,ω2,ω3
Reference,0.00,0.00,0.00
small,-110.07,-163.37,-100.73
medium,-239.97,-47.37,-206.03
large,-136.57,-151.17,-127.73
MACE-ICE13-1,-129.87,-40.67,-135.03
