#Temperature [K] | Cv  | H | S 
0.0 0.0 797.2904816187903 0.0
50.0 66.24321944162257 796.7549383246078 35.33575809928697
100.0 135.14991833859713 793.2957919838606 103.1377838980816
150.0 194.00735935396355 786.4704240585895 169.38383984963636
200.0 246.01600632141532 776.4120875601316 232.420334562638
250.0 294.8383423858359 763.2757185882843 292.61289328157585
300.0 340.53274627109334 747.1896552305466 350.4616492910053
350.0 382.27435416658085 728.2655802473262 406.1440299969887
400.0 419.7216071119463 706.6109937463623 459.681781058401
450.0 453.0639931510877 682.3330642923871 511.0811477365982
500.0 482.780254982758 655.5378508122535 560.3835590471047
550.0 509.4318724994382 626.3283312680801 607.6694961857821
600.0 533.5431129907034 594.8027263663432 653.0463385275906
650.0 555.550383411451 561.0535117435263 696.6343729603617
700.0 575.7935902954238 525.1670607143706 738.5559336538844
750.0 594.5278103712087 487.22373018465214 778.9284934241168
800.0 611.9417073118832 447.2982064493621 817.8610125885001
850.0 628.1756550383136 405.4599733779399 855.4525294646824
900.0 643.3366930660777 361.7738139337157 891.7921092778482
950.0 657.5096940477499 316.3002940604226 926.9595149500556
1000.0 670.7651436445043 269.0962039135777 961.0261902715656
