1.000000000000000000e+01,-4.625789766559337295e+02
2.000000000000000000e+01,-4.625790344096075728e+02
3.000000000000000000e+01,-4.625791428765997466e+02
4.000000000000000000e+01,-4.625793234298745915e+02
5.000000000000000000e+01,-4.625795940065427203e+02
6.000000000000000000e+01,-4.625799672770094162e+02
7.000000000000000000e+01,-4.625804519202456504e+02
8.000000000000000000e+01,-4.625810537621721323e+02
9.000000000000000000e+01,-4.625817764559294005e+02
1.000000000000000000e+02,-4.625826219557838499e+02
1.100000000000000000e+02,-4.625835909192880990e+02
1.200000000000000000e+02,-4.625846830636670006e+02
1.300000000000000000e+02,-4.625858974681146378e+02
1.400000000000000000e+02,-4.625872328143177583e+02
1.500000000000000000e+02,-4.625886875660408464e+02
1.600000000000000000e+02,-4.625902600951613408e+02
1.700000000000000000e+02,-4.625919487644916330e+02
1.800000000000000000e+02,-4.625937519779570835e+02
1.900000000000000000e+02,-4.625956682074768196e+02
2.000000000000000000e+02,-4.625976960040928248e+02
2.100000000000000000e+02,-4.625998339990808859e+02
2.200000000000000000e+02,-4.626020808991718241e+02
2.300000000000000000e+02,-4.626044354787288171e+02
2.400000000000000000e+02,-4.626068965707506777e+02
2.500000000000000000e+02,-4.626094630578569991e+02
2.600000000000000000e+02,-4.626121338639234182e+02
2.700000000000000000e+02,-4.626149079466983380e+02
2.800000000000000000e+02,-4.626177842915219003e+02
2.900000000000000000e+02,-4.626207619061403307e+02
